Entity,Code,Year,Patent applications per 1 million people - Field: All
Argentina,ARG,2019,0.15644026
Argentina,ARG,2017,0.022699097
Argentina,ARG,2020,0.11102221
Argentina,ARG,2018,0.1576094
Argentina,ARG,2016,0.02289994
Australia,AUS,2020,26.80166
Australia,AUS,2019,21.887302
Australia,AUS,2018,18.575434
Australia,AUS,2017,11.5492525
Australia,AUS,2015,5.541506
Australia,AUS,2016,9.712467
Australia,AUS,2014,3.6217098
Australia,AUS,2013,3.331633
Australia,AUS,2012,2.991737
Australia,AUS,2011,1.9680609
Australia,AUS,2010,2.316164
Austria,AUT,2020,1.5716598
Austria,AUT,2019,0.45045355
Austria,AUT,2018,1.3573865
Austria,AUT,2017,1.2503556
Austria,AUT,2016,1.0301619
Austria,AUT,2015,0.3471249
Austria,AUT,2014,0.2340258
Austria,AUT,2013,0.4717236
Austria,AUT,2012,0.118629016
Austria,AUT,2010,0.11957676
Austria,AUT,2011,0.119172454
Azerbaijan,AZE,2018,0.098497674
Belgium,BEL,2020,0.25947705
Belgium,BEL,2019,0.17375335
Belgium,BEL,2018,0.69877553
Belgium,BEL,2017,0.1756776
Belgium,BEL,2016,0.088363916
Belgium,BEL,2014,0.08947163
Brazil,BRA,2020,0.45967025
Brazil,BRA,2019,0.59967077
Brazil,BRA,2018,0.6518638
Brazil,BRA,2017,0.38847998
Brazil,BRA,2016,0.37223318
Brazil,BRA,2015,0.27292016
Brazil,BRA,2014,0.15236436
Brazil,BRA,2013,0.19829293
Brazil,BRA,2012,0.22002453
Brazil,BRA,2010,0.10185711
Brazil,BRA,2011,0.17155662
Brunei,BRN,2014,2.3999808
Bulgaria,BGR,2011,0.132571
Canada,CAN,2020,15.149634
Canada,CAN,2019,19.614853
Canada,CAN,2018,18.117868
Canada,CAN,2017,11.407673
Canada,CAN,2016,9.110159
Canada,CAN,2015,5.1774144
Canada,CAN,2014,3.4458783
Canada,CAN,2012,2.3348405
Canada,CAN,2013,3.1656675
Canada,CAN,2011,2.3598967
Canada,CAN,2010,1.8549371
Chile,CHL,2018,0.053471785
Chile,CHL,2015,0.16787799
Chile,CHL,2014,0.056538355
China,CHN,2020,45.200123
China,CHN,2019,30.453684
China,CHN,2018,19.55444
China,CHN,2017,10.379529
China,CHN,2014,1.843069
China,CHN,2012,1.0295919
China,CHN,2016,5.659504
China,CHN,2015,2.861416
China,CHN,2013,1.4809966
China,CHN,2011,0.88350457
China,CHN,2010,0.5659434
Colombia,COL,2019,0.039850637
Colombia,COL,2017,0.02068181
Colombia,COL,2015,0.042445067
Costa Rica,CRI,2019,0.19667512
Croatia,HRV,2015,0.2350275
Croatia,HRV,2011,0.22978796
Czechia,CZE,2013,0.09510633
Denmark,DNK,2020,2.7464802
Denmark,DNK,2019,1.5528275
Denmark,DNK,2018,2.7745557
Denmark,DNK,2017,2.788775
Denmark,DNK,2016,2.2779617
Denmark,DNK,2015,4.0508685
Denmark,DNK,2013,1.4221228
Denmark,DNK,2014,2.123648
Denmark,DNK,2012,1.0712459
Denmark,DNK,2011,1.6140556
Denmark,DNK,2010,1.6213733
Egypt,EGY,2011,0.011210755
Finland,FIN,2020,3.978683
Finland,FIN,2019,3.9843965
Finland,FIN,2017,3.086338
Finland,FIN,2018,5.2579427
Finland,FIN,2016,1.2738351
Finland,FIN,2015,1.8249984
Finland,FIN,2014,0.9155101
Finland,FIN,2013,0.36772323
Finland,FIN,2011,1.11355
Finland,FIN,2010,1.1187186
Finland,FIN,2012,1.4776874
France,FRA,2020,4.311411
France,FRA,2017,1.6992991
France,FRA,2015,0.59552014
France,FRA,2011,0.3663863
France,FRA,2019,3.66461
France,FRA,2018,3.0025914
France,FRA,2016,1.1095601
France,FRA,2014,0.5189618
France,FRA,2013,0.48945943
France,FRA,2012,0.41223115
France,FRA,2010,0.32028407
Georgia,GEO,2013,0.26412925
Germany,DEU,2020,12.192636
Germany,DEU,2019,11.545657
Germany,DEU,2018,8.480434
Germany,DEU,2016,3.0122154
Germany,DEU,2017,5.119555
Germany,DEU,2015,1.5352143
Germany,DEU,2014,0.95286
Germany,DEU,2013,0.8569967
Germany,DEU,2012,0.67446953
Germany,DEU,2011,0.56494826
Germany,DEU,2010,0.5533348
Greece,GRC,2019,0.18914272
Greece,GRC,2018,0.7523552
Greece,GRC,2020,0.28538182
Greece,GRC,2017,1.0287844
Greece,GRC,2016,0.18605098
Greece,GRC,2014,0.09205584
Hong Kong,HKG,2019,0.13340233
Hong Kong,HKG,2018,1.7376049
Hong Kong,HKG,2017,0.13402116
Hong Kong,HKG,2016,0.53792906
Hong Kong,HKG,2011,0.13936563
Hungary,HUN,2020,0.1025581
Hungary,HUN,2015,0.8126571
Hungary,HUN,2019,0.20467061
Hungary,HUN,2018,0.102287546
Hungary,HUN,2017,0.6129366
Hungary,HUN,2016,0.6113026
Hungary,HUN,2014,0.101338625
Hungary,HUN,2013,0.20212969
Hungary,HUN,2012,0.20156956
Hungary,HUN,2011,0.20093945
India,IND,2020,0.0028645352
India,IND,2019,0.0072300723
India,IND,2018,0.19649333
India,IND,2017,0.19938034
India,IND,2016,0.11578948
India,IND,2015,0.08466462
India,IND,2014,0.037483368
India,IND,2013,0.041823763
India,IND,2011,0.018288495
India,IND,2012,0.019615732
India,IND,2010,0.00886658
Indonesia,IDN,2016,0.0076379557
Indonesia,IDN,2013,0.0039482634
Iran,IRN,2018,0.011679847
Ireland,IRL,2016,0.42410702
Ireland,IRL,2012,0.65723896
Ireland,IRL,2011,0.22004601
Israel,ISR,2020,2.5121362
Israel,ISR,2019,1.8587528
Israel,ISR,2018,2.3650482
Israel,ISR,2017,2.4069543
Israel,ISR,2016,0.7353829
Israel,ISR,2014,0.635821
Israel,ISR,2013,1.164796
Israel,ISR,2015,1.9980576
Israel,ISR,2012,0.7902953
Israel,ISR,2011,0.2681055
Israel,ISR,2010,0.40936413
Italy,ITA,2020,0.6386493
Italy,ITA,2018,0.5511258
Italy,ITA,2017,0.43330428
Italy,ITA,2016,0.28277424
Italy,ITA,2019,0.80364406
Italy,ITA,2015,0.14941998
Italy,ITA,2014,0.09946489
Italy,ITA,2013,0.13264227
Italy,ITA,2012,0.08307007
Italy,ITA,2011,0.13327569
Italy,ITA,2010,0.13372906
Japan,JPN,2020,21.701508
Japan,JPN,2019,33.468033
Japan,JPN,2018,28.355116
Japan,JPN,2017,18.955893
Japan,JPN,2016,10.772175
Japan,JPN,2015,6.129621
Japan,JPN,2014,4.2439117
Japan,JPN,2013,2.9135585
Japan,JPN,2012,2.3855393
Japan,JPN,2011,1.906142
Japan,JPN,2010,1.9827418
Jordan,JOR,2017,0.09789157
Kenya,KEN,2016,0.020879151
Latvia,LVA,2020,0.5271323
Lithuania,LTU,2020,1.4183044
Lithuania,LTU,2019,0.70198023
Lithuania,LTU,2018,1.3907586
Lithuania,LTU,2017,1.0328971
Lithuania,LTU,2016,1.3634771
Lithuania,LTU,2014,0.66779566
Lithuania,LTU,2015,1.3496351
Lithuania,LTU,2011,0.32260147
Luxembourg,LUX,2020,11.104043
Luxembourg,LUX,2018,14.80458
Luxembourg,LUX,2017,3.3540726
Luxembourg,LUX,2016,1.7142221
Luxembourg,LUX,2019,8.064763
Malaysia,MYS,2018,0.18518935
Malaysia,MYS,2017,0.12509456
Malaysia,MYS,2016,0.12687774
Malaysia,MYS,2015,0.32186595
Malaysia,MYS,2014,0.2613828
Malaysia,MYS,2013,0.39821061
Malaysia,MYS,2012,0.20229118
Malaysia,MYS,2011,0.034265187
Malaysia,MYS,2010,0.10446509
Mexico,MEX,2016,0.46906158
Mexico,MEX,2019,0.031978175
Mexico,MEX,2018,0.32254457
Mexico,MEX,2017,0.49658394
Mexico,MEX,2014,0.18525398
Mexico,MEX,2013,0.2557748
Mexico,MEX,2012,0.13822187
Mexico,MEX,2015,0.3412404
Mexico,MEX,2011,0.16644695
Mexico,MEX,2010,0.06220431
Morocco,MAR,2020,0.027256299
Morocco,MAR,2019,0.19281405
Morocco,MAR,2018,0.16700292
Morocco,MAR,2017,0.14073361
Morocco,MAR,2016,0.056968253
Morocco,MAR,2015,0.057669368
Morocco,MAR,2014,0.058396533
Morocco,MAR,2013,0.029582711
Netherlands,NLD,2020,1.032432
Netherlands,NLD,2019,1.382229
Netherlands,NLD,2018,0.809902
Netherlands,NLD,2016,0.35037494
Netherlands,NLD,2014,0.058982853
Netherlands,NLD,2017,0.29057598
Netherlands,NLD,2015,0.29340813
Netherlands,NLD,2013,0.11857226
Netherlands,NLD,2012,0.119151905
Netherlands,NLD,2011,0.05987497
Netherlands,NLD,2010,0.060178895
New Zealand,NZL,2017,1.8962327
New Zealand,NZL,2019,0.40330443
New Zealand,NZL,2018,2.2734187
New Zealand,NZL,2016,0.21422046
New Zealand,NZL,2015,3.48539
New Zealand,NZL,2014,0.66456985
New Zealand,NZL,2012,1.8139417
New Zealand,NZL,2013,1.7974939
New Zealand,NZL,2011,0.91297644
New Zealand,NZL,2010,0.9203135
Norway,NOR,2020,0.92939633
Norway,NOR,2019,0.7479033
Norway,NOR,2018,1.1294498
Norway,NOR,2017,0.3789748
Norway,NOR,2016,0.5728918
Norway,NOR,2014,0.38926214
Norway,NOR,2013,0.19682455
Norway,NOR,2012,0.39848116
Norway,NOR,2010,0.20450956
Oman,OMN,2016,0.22737195
Panama,PAN,2016,0.49672928
Peru,PER,2020,0.060051464
Peru,PER,2019,0.091394134
Peru,PER,2018,0.093156286
Peru,PER,2016,0.06424098
Peru,PER,2015,0.06512141
Peru,PER,2012,0.033613905
Peru,PER,2011,0.033923924
Peru,PER,2010,0.034211922
Philippines,PHL,2020,0.017826745
Philippines,PHL,2018,0.009210747
Philippines,PHL,2016,0.009535137
Philippines,PHL,2015,0.009705783
Philippines,PHL,2019,0.018119093
Philippines,PHL,2017,0.009368691
Poland,POL,2020,0.13011222
Poland,POL,2019,0.103913374
Poland,POL,2018,0.2855551
Poland,POL,2017,0.18166333
Poland,POL,2016,0.2854762
Poland,POL,2015,0.33719686
Poland,POL,2014,0.15551342
Poland,POL,2013,0.12950902
Poland,POL,2012,0.12944691
Poland,POL,2011,0.051785503
Poland,POL,2010,0.103634045
Portugal,PRT,2020,0.4855224
Portugal,PRT,2018,0.58309984
Portugal,PRT,2019,0.29154742
Portugal,PRT,2017,0.6791153
Portugal,PRT,2016,0.8710168
Portugal,PRT,2015,0.48237237
Portugal,PRT,2014,0.09607644
Portugal,PRT,2012,0.1900764
Portugal,PRT,2011,0.09465376
Portugal,PRT,2010,0.09444296
Romania,ROU,2018,0.05100277
Romania,ROU,2017,0.05076438
Romania,ROU,2016,0.05051061
Russia,RUS,2019,0.48716128
Russia,RUS,2020,0.4738447
Russia,RUS,2018,0.8513426
Russia,RUS,2017,0.72876
Russia,RUS,2016,0.56509185
Russia,RUS,2015,0.421654
Russia,RUS,2014,0.24950606
Russia,RUS,2013,0.19450271
Russia,RUS,2012,0.18102148
Russia,RUS,2011,0.083702706
Russia,RUS,2010,0.12566096
Saudi Arabia,SAU,2018,0.057113267
Serbia,SRB,2018,0.13452025
Serbia,SRB,2015,0.13298754
Serbia,SRB,2020,0.13590631
Serbia,SRB,2017,0.13396059
Serbia,SRB,2016,0.13345276
Serbia,SRB,2013,0.13215846
Serbia,SRB,2012,0.13172875
Serbia,SRB,2011,0.13121767
Singapore,SGP,2020,8.122001
Singapore,SGP,2019,24.376074
Singapore,SGP,2018,33.880566
Singapore,SGP,2017,18.214972
Singapore,SGP,2016,8.578527
Singapore,SGP,2015,5.8406873
Singapore,SGP,2014,6.283093
Singapore,SGP,2013,4.563657
Singapore,SGP,2012,2.6017454
Singapore,SGP,2011,1.7041094
Singapore,SGP,2010,2.7112947
Slovenia,SVN,2016,1.435393
Slovenia,SVN,2015,0.9611388
Slovenia,SVN,2018,0.47484937
Slovenia,SVN,2013,0.48253837
Slovenia,SVN,2011,0.9683087
Slovenia,SVN,2010,0.4860754
South Africa,ZAF,2020,0.03401249
South Africa,ZAF,2019,0.017215539
South Africa,ZAF,2018,0.052319832
South Africa,ZAF,2017,0.05296497
South Africa,ZAF,2016,0.05317049
South Africa,ZAF,2014,0.05481499
South Africa,ZAF,2012,0.018816432
South Africa,ZAF,2010,0.019310638
South Korea,KOR,2020,158.10684
South Korea,KOR,2019,129.06381
South Korea,KOR,2018,81.64189
South Korea,KOR,2017,46.78554
South Korea,KOR,2016,24.06939
South Korea,KOR,2015,10.530569
South Korea,KOR,2014,7.3381004
South Korea,KOR,2013,6.127961
South Korea,KOR,2012,5.6211257
South Korea,KOR,2011,5.7758937
South Korea,KOR,2010,4.035807
Spain,ESP,2018,0.83347505
Spain,ESP,2017,1.0089265
Spain,ESP,2016,0.9682975
Spain,ESP,2015,0.86148703
Spain,ESP,2014,0.66717535
Spain,ESP,2020,0.69673455
Spain,ESP,2012,0.55607736
Spain,ESP,2019,0.57286686
Spain,ESP,2013,0.4935256
Spain,ESP,2011,0.38519785
Spain,ESP,2010,0.55826604
Sri Lanka,LKA,2016,0.04667337
Sri Lanka,LKA,2010,0.048382673
Sweden,SWE,2020,1.9288323
Sweden,SWE,2019,1.266079
Sweden,SWE,2018,2.8536847
Sweden,SWE,2017,1.093636
Sweden,SWE,2016,0.9042207
Sweden,SWE,2015,0.60917765
Sweden,SWE,2014,0.41036135
Sweden,SWE,2013,1.9691292
Sweden,SWE,2012,0.7325253
Sweden,SWE,2010,0.5329512
Sweden,SWE,2011,0.4225032
Switzerland,CHE,2019,0.23322003
Switzerland,CHE,2018,0.46979064
Switzerland,CHE,2017,0.23663911
Switzerland,CHE,2016,0.47773162
Switzerland,CHE,2015,0.36224294
Switzerland,CHE,2014,0.4885322
Switzerland,CHE,2020,0.69455624
Switzerland,CHE,2012,0.37519988
Switzerland,CHE,2010,0.25567457
Taiwan,TWN,2020,12.887535
Taiwan,TWN,2019,10.724316
Taiwan,TWN,2018,9.483193
Taiwan,TWN,2017,4.7749786
Taiwan,TWN,2016,2.7972648
Taiwan,TWN,2015,1.5311242
Taiwan,TWN,2014,0.7257977
Taiwan,TWN,2013,0.8143905
Taiwan,TWN,2012,1.0760063
Taiwan,TWN,2011,0.73456097
Taiwan,TWN,2010,0.64982647
Thailand,THA,2017,0.014104729
Turkey,TUR,2020,0.53485197
Turkey,TUR,2019,0.26353085
Turkey,TUR,2018,0.16906312
Turkey,TUR,2017,0.09745422
Turkey,TUR,2016,0.049370892
Turkey,TUR,2015,0.05022212
Turkey,TUR,2014,0.025604239
Turkey,TUR,2013,0.039176702
Turkey,TUR,2012,0.013284192
Turkey,TUR,2010,0.01366207
Ukraine,UKR,2017,0.04478555
Ukraine,UKR,2018,0.02249873
Ukraine,UKR,2013,0.066214785
Ukraine,UKR,2015,0.0666925
Ukraine,UKR,2010,0.02188997
United Kingdom,GBR,2020,5.681524
United Kingdom,GBR,2019,6.21456
United Kingdom,GBR,2018,6.05121
United Kingdom,GBR,2016,2.863444
United Kingdom,GBR,2014,1.0806888
United Kingdom,GBR,2017,4.177716
United Kingdom,GBR,2015,1.4105158
United Kingdom,GBR,2013,1.2130204
United Kingdom,GBR,2012,0.75224817
United Kingdom,GBR,2011,0.41083103
United Kingdom,GBR,2010,0.3664752
United States,USA,2020,43.93913
United States,USA,2019,49.270206
United States,USA,2018,42.292404
United States,USA,2017,30.625435
United States,USA,2016,19.580685
United States,USA,2015,12.846272
United States,USA,2014,8.887261
United States,USA,2013,7.173382
United States,USA,2012,5.6718535
United States,USA,2011,4.4985833
United States,USA,2010,4.3607802
Uruguay,URY,2020,0.29162282
Uruguay,URY,2017,0.29220927
World,OWID_WRL,2020,11.966403
World,OWID_WRL,2019,9.583834
World,OWID_WRL,2018,6.937072
World,OWID_WRL,2017,4.214441
World,OWID_WRL,2016,2.487531
World,OWID_WRL,2015,1.4244747
World,OWID_WRL,2014,0.95503294
World,OWID_WRL,2013,0.7842117
World,OWID_WRL,2012,0.60195225
World,OWID_WRL,2011,0.5007687
World,OWID_WRL,2010,0.42057928