Entity,Code,Year,Patent applications - Field: All
Argentina,ARG,2019,7
Argentina,ARG,2017,1
Argentina,ARG,2020,5
Argentina,ARG,2018,7
Argentina,ARG,2016,1
Australia,AUS,2020,688
Australia,AUS,2019,555
Australia,AUS,2018,464
Australia,AUS,2017,284
Australia,AUS,2015,132
Australia,AUS,2016,235
Australia,AUS,2014,85
Australia,AUS,2013,77
Australia,AUS,2012,68
Australia,AUS,2011,44
Australia,AUS,2010,51
Austria,AUT,2020,14
Austria,AUT,2019,4
Austria,AUT,2018,12
Austria,AUT,2017,11
Austria,AUT,2016,9
Austria,AUT,2015,3
Austria,AUT,2014,2
Austria,AUT,2013,4
Austria,AUT,2012,1
Austria,AUT,2010,1
Austria,AUT,2011,1
Azerbaijan,AZE,2018,1
Belgium,BEL,2020,3
Belgium,BEL,2019,2
Belgium,BEL,2018,8
Belgium,BEL,2017,2
Belgium,BEL,2016,1
Belgium,BEL,2014,1
Brazil,BRA,2020,98
Brazil,BRA,2019,127
Brazil,BRA,2018,137
Brazil,BRA,2017,81
Brazil,BRA,2016,77
Brazil,BRA,2015,56
Brazil,BRA,2014,31
Brazil,BRA,2013,40
Brazil,BRA,2012,44
Brazil,BRA,2010,20
Brazil,BRA,2011,34
Brunei,BRN,2014,1
Bulgaria,BGR,2011,1
Canada,CAN,2020,574
Canada,CAN,2019,736
Canada,CAN,2018,671
Canada,CAN,2017,417
Canada,CAN,2016,329
Canada,CAN,2015,185
Canada,CAN,2014,122
Canada,CAN,2012,81
Canada,CAN,2013,111
Canada,CAN,2011,81
Canada,CAN,2010,63
Chile,CHL,2018,1
Chile,CHL,2015,3
Chile,CHL,2014,1
China,CHN,2020,64407
China,CHN,2019,43301
China,CHN,2018,27710
China,CHN,2017,14638
China,CHN,2014,2553
China,CHN,2012,1407
China,CHN,2016,7934
China,CHN,2015,3988
China,CHN,2013,2038
China,CHN,2011,1199
China,CHN,2010,763
Colombia,COL,2019,2
Colombia,COL,2017,1
Colombia,COL,2015,2
Costa Rica,CRI,2019,1
Croatia,HRV,2015,1
Croatia,HRV,2011,1
Czechia,CZE,2013,1
Denmark,DNK,2020,16
Denmark,DNK,2019,9
Denmark,DNK,2018,16
Denmark,DNK,2017,16
Denmark,DNK,2016,13
Denmark,DNK,2015,23
Denmark,DNK,2013,8
Denmark,DNK,2014,12
Denmark,DNK,2012,6
Denmark,DNK,2011,9
Denmark,DNK,2010,9
Egypt,EGY,2011,1
Finland,FIN,2020,22
Finland,FIN,2019,22
Finland,FIN,2017,17
Finland,FIN,2018,29
Finland,FIN,2016,7
Finland,FIN,2015,10
Finland,FIN,2014,5
Finland,FIN,2013,2
Finland,FIN,2011,6
Finland,FIN,2010,6
Finland,FIN,2012,8
France,FRA,2020,278
France,FRA,2017,109
France,FRA,2015,38
France,FRA,2011,23
France,FRA,2019,236
France,FRA,2018,193
France,FRA,2016,71
France,FRA,2014,33
France,FRA,2013,31
France,FRA,2012,26
France,FRA,2010,20
Georgia,GEO,2013,1
Germany,DEU,2020,1016
Germany,DEU,2019,960
Germany,DEU,2018,703
Germany,DEU,2016,248
Germany,DEU,2017,423
Germany,DEU,2015,126
Germany,DEU,2014,78
Germany,DEU,2013,70
Germany,DEU,2012,55
Germany,DEU,2011,46
Germany,DEU,2010,45
Greece,GRC,2019,2
Greece,GRC,2018,8
Greece,GRC,2020,3
Greece,GRC,2017,11
Greece,GRC,2016,2
Greece,GRC,2014,1
Hong Kong,HKG,2019,1
Hong Kong,HKG,2018,13
Hong Kong,HKG,2017,1
Hong Kong,HKG,2016,4
Hong Kong,HKG,2011,1
Hungary,HUN,2020,1
Hungary,HUN,2015,8
Hungary,HUN,2019,2
Hungary,HUN,2018,1
Hungary,HUN,2017,6
Hungary,HUN,2016,6
Hungary,HUN,2014,1
Hungary,HUN,2013,2
Hungary,HUN,2012,2
Hungary,HUN,2011,2
India,IND,2020,4
India,IND,2019,10
India,IND,2018,269
India,IND,2017,270
India,IND,2016,155
India,IND,2015,112
India,IND,2014,49
India,IND,2013,54
India,IND,2011,23
India,IND,2012,25
India,IND,2010,11
Indonesia,IDN,2016,2
Indonesia,IDN,2013,1
Iran,IRN,2018,1
Ireland,IRL,2016,2
Ireland,IRL,2012,3
Ireland,IRL,2011,1
Israel,ISR,2020,22
Israel,ISR,2019,16
Israel,ISR,2018,20
Israel,ISR,2017,20
Israel,ISR,2016,6
Israel,ISR,2014,5
Israel,ISR,2013,9
Israel,ISR,2015,16
Israel,ISR,2012,6
Israel,ISR,2011,2
Israel,ISR,2010,3
Italy,ITA,2020,38
Italy,ITA,2018,33
Italy,ITA,2017,26
Italy,ITA,2016,17
Italy,ITA,2019,48
Italy,ITA,2015,9
Italy,ITA,2014,6
Italy,ITA,2013,8
Italy,ITA,2012,5
Italy,ITA,2011,8
Italy,ITA,2010,8
Japan,JPN,2020,2718
Japan,JPN,2019,4210
Japan,JPN,2018,3580
Japan,JPN,2017,2401
Japan,JPN,2016,1368
Japan,JPN,2015,780
Japan,JPN,2014,541
Japan,JPN,2013,372
Japan,JPN,2012,305
Japan,JPN,2011,244
Japan,JPN,2010,254
Jordan,JOR,2017,1
Kenya,KEN,2016,1
Latvia,LVA,2020,1
Lithuania,LTU,2020,4
Lithuania,LTU,2019,2
Lithuania,LTU,2018,4
Lithuania,LTU,2017,3
Lithuania,LTU,2016,4
Lithuania,LTU,2014,2
Lithuania,LTU,2015,4
Lithuania,LTU,2011,1
Luxembourg,LUX,2020,7
Luxembourg,LUX,2018,9
Luxembourg,LUX,2017,2
Luxembourg,LUX,2016,1
Luxembourg,LUX,2019,5
Malaysia,MYS,2018,6
Malaysia,MYS,2017,4
Malaysia,MYS,2016,4
Malaysia,MYS,2015,10
Malaysia,MYS,2014,8
Malaysia,MYS,2013,12
Malaysia,MYS,2012,6
Malaysia,MYS,2011,1
Malaysia,MYS,2010,3
Mexico,MEX,2016,57
Mexico,MEX,2019,4
Mexico,MEX,2018,40
Mexico,MEX,2017,61
Mexico,MEX,2014,22
Mexico,MEX,2013,30
Mexico,MEX,2012,16
Mexico,MEX,2015,41
Mexico,MEX,2011,19
Mexico,MEX,2010,7
Morocco,MAR,2020,1
Morocco,MAR,2019,7
Morocco,MAR,2018,6
Morocco,MAR,2017,5
Morocco,MAR,2016,2
Morocco,MAR,2015,2
Morocco,MAR,2014,2
Morocco,MAR,2013,1
Netherlands,NLD,2020,18
Netherlands,NLD,2019,24
Netherlands,NLD,2018,14
Netherlands,NLD,2016,6
Netherlands,NLD,2014,1
Netherlands,NLD,2017,5
Netherlands,NLD,2015,5
Netherlands,NLD,2013,2
Netherlands,NLD,2012,2
Netherlands,NLD,2011,1
Netherlands,NLD,2010,1
New Zealand,NZL,2017,9
New Zealand,NZL,2019,2
New Zealand,NZL,2018,11
New Zealand,NZL,2016,1
New Zealand,NZL,2015,16
New Zealand,NZL,2014,3
New Zealand,NZL,2012,8
New Zealand,NZL,2013,8
New Zealand,NZL,2011,4
New Zealand,NZL,2010,4
Norway,NOR,2020,5
Norway,NOR,2019,4
Norway,NOR,2018,6
Norway,NOR,2017,2
Norway,NOR,2016,3
Norway,NOR,2014,2
Norway,NOR,2013,1
Norway,NOR,2012,2
Norway,NOR,2010,1
Oman,OMN,2016,1
Panama,PAN,2016,2
Peru,PER,2020,2
Peru,PER,2019,3
Peru,PER,2018,3
Peru,PER,2016,2
Peru,PER,2015,2
Peru,PER,2012,1
Peru,PER,2011,1
Peru,PER,2010,1
Philippines,PHL,2020,2
Philippines,PHL,2018,1
Philippines,PHL,2016,1
Philippines,PHL,2015,1
Philippines,PHL,2019,2
Philippines,PHL,2017,1
Poland,POL,2020,5
Poland,POL,2019,4
Poland,POL,2018,11
Poland,POL,2017,7
Poland,POL,2016,11
Poland,POL,2015,13
Poland,POL,2014,6
Poland,POL,2013,5
Poland,POL,2012,5
Poland,POL,2011,2
Poland,POL,2010,4
Portugal,PRT,2020,5
Portugal,PRT,2018,6
Portugal,PRT,2019,3
Portugal,PRT,2017,7
Portugal,PRT,2016,9
Portugal,PRT,2015,5
Portugal,PRT,2014,1
Portugal,PRT,2012,2
Portugal,PRT,2011,1
Portugal,PRT,2010,1
Romania,ROU,2018,1
Romania,ROU,2017,1
Romania,ROU,2016,1
Russia,RUS,2019,71
Russia,RUS,2020,69
Russia,RUS,2018,124
Russia,RUS,2017,106
Russia,RUS,2016,82
Russia,RUS,2015,61
Russia,RUS,2014,36
Russia,RUS,2013,28
Russia,RUS,2012,26
Russia,RUS,2011,12
Russia,RUS,2010,18
Saudi Arabia,SAU,2018,2
Serbia,SRB,2018,1
Serbia,SRB,2015,1
Serbia,SRB,2020,1
Serbia,SRB,2017,1
Serbia,SRB,2016,1
Serbia,SRB,2013,1
Serbia,SRB,2012,1
Serbia,SRB,2011,1
Singapore,SGP,2020,48
Singapore,SGP,2019,143
Singapore,SGP,2018,197
Singapore,SGP,2017,105
Singapore,SGP,2016,49
Singapore,SGP,2015,33
Singapore,SGP,2014,35
Singapore,SGP,2013,25
Singapore,SGP,2012,14
Singapore,SGP,2011,9
Singapore,SGP,2010,14
Slovenia,SVN,2016,3
Slovenia,SVN,2015,2
Slovenia,SVN,2018,1
Slovenia,SVN,2013,1
Slovenia,SVN,2011,2
Slovenia,SVN,2010,1
South Africa,ZAF,2020,2
South Africa,ZAF,2019,1
South Africa,ZAF,2018,3
South Africa,ZAF,2017,3
South Africa,ZAF,2016,3
South Africa,ZAF,2014,3
South Africa,ZAF,2012,1
South Africa,ZAF,2010,1
South Korea,KOR,2020,8197
South Korea,KOR,2019,6686
South Korea,KOR,2018,4219
South Korea,KOR,2017,2410
South Korea,KOR,2016,1235
South Korea,KOR,2015,537
South Korea,KOR,2014,371
South Korea,KOR,2013,307
South Korea,KOR,2012,279
South Korea,KOR,2011,284
South Korea,KOR,2010,197
Spain,ESP,2018,39
Spain,ESP,2017,47
Spain,ESP,2016,45
Spain,ESP,2015,40
Spain,ESP,2014,31
Spain,ESP,2020,33
Spain,ESP,2012,26
Spain,ESP,2019,27
Spain,ESP,2013,23
Spain,ESP,2011,18
Spain,ESP,2010,26
Sri Lanka,LKA,2016,1
Sri Lanka,LKA,2010,1
Sweden,SWE,2020,20
Sweden,SWE,2019,13
Sweden,SWE,2018,29
Sweden,SWE,2017,11
Sweden,SWE,2016,9
Sweden,SWE,2015,6
Sweden,SWE,2014,4
Sweden,SWE,2013,19
Sweden,SWE,2012,7
Sweden,SWE,2010,5
Sweden,SWE,2011,4
Switzerland,CHE,2019,2
Switzerland,CHE,2018,4
Switzerland,CHE,2017,2
Switzerland,CHE,2016,4
Switzerland,CHE,2015,3
Switzerland,CHE,2014,4
Switzerland,CHE,2020,6
Switzerland,CHE,2012,3
Switzerland,CHE,2010,2
Taiwan,TWN,2020,307
Taiwan,TWN,2019,255
Taiwan,TWN,2018,225
Taiwan,TWN,2017,113
Taiwan,TWN,2016,66
Taiwan,TWN,2015,36
Taiwan,TWN,2014,17
Taiwan,TWN,2013,19
Taiwan,TWN,2012,25
Taiwan,TWN,2011,17
Taiwan,TWN,2010,15
Thailand,THA,2017,1
Turkey,TUR,2020,45
Turkey,TUR,2019,22
Turkey,TUR,2018,14
Turkey,TUR,2017,8
Turkey,TUR,2016,4
Turkey,TUR,2015,4
Turkey,TUR,2014,2
Turkey,TUR,2013,3
Turkey,TUR,2012,1
Turkey,TUR,2010,1
Ukraine,UKR,2017,2
Ukraine,UKR,2018,1
Ukraine,UKR,2013,3
Ukraine,UKR,2015,3
Ukraine,UKR,2010,1
United Kingdom,GBR,2020,381
United Kingdom,GBR,2019,415
United Kingdom,GBR,2018,402
United Kingdom,GBR,2016,188
United Kingdom,GBR,2014,70
United Kingdom,GBR,2017,276
United Kingdom,GBR,2015,92
United Kingdom,GBR,2013,78
United Kingdom,GBR,2012,48
United Kingdom,GBR,2011,26
United Kingdom,GBR,2010,23
United States,USA,2020,14761
United States,USA,2019,16472
United States,USA,2018,14047
United States,USA,2017,10100
United States,USA,2016,6407
United States,USA,2015,4170
United States,USA,2014,2862
United States,USA,2013,2291
United States,USA,2012,1796
United States,USA,2011,1412
United States,USA,2010,1357
Uruguay,URY,2020,1
Uruguay,URY,2017,1
World,OWID_WRL,2020,93828
World,OWID_WRL,2019,74418
World,OWID_WRL,2018,53303
World,OWID_WRL,2017,32029
World,OWID_WRL,2016,18690
World,OWID_WRL,2015,10579
World,OWID_WRL,2014,7009
World,OWID_WRL,2013,5686
World,OWID_WRL,2012,4311
World,OWID_WRL,2011,3542
World,OWID_WRL,2010,2938